"""","総    数_男","総    数_女","0歳～ 4歳_男","0歳～ 4歳_女","5歳～ 9歳_男","5歳～ 9歳_女","10歳～14歳_男","10歳～14歳_女","15歳～19歳_男","15歳～19歳_女"
"総 数","471397.0","530801.0","19135.0","18219.0","21755.0","20586.0","24531.0","23779.0","24343.0","22653.0"
"","","","","","","","","","",""
" 和歌山市","174104.0","196260.0","7295.0","6959.0","7902.0","7446.0","8643.0","8494.0","8671.0","8118.0"
" 海 南 市","25518.0","29265.0","855.0","854.0","1083.0","1075.0","1296.0","1181.0","1231.0","1146.0"
" 橋 本 市","31326.0","35035.0","1239.0","1174.0","1455.0","1474.0","1729.0","1668.0","1830.0","1789.0"
" 有 田 市","14436.0","16156.0","584.0","532.0","745.0","643.0","829.0","753.0","708.0","735.0"
" 御 坊 市","12620.0","13491.0","494.0","464.0","626.0","548.0","692.0","569.0","1054.0","648.0"
" 田 辺 市","37243.0","41876.0","1578.0","1598.0","1712.0","1694.0","2028.0","1978.0","1817.0","1689.0"
" 新 宮 市","14551.0","16947.0","616.0","540.0","647.0","619.0","759.0","712.0","761.0","693.0"
" 紀の川市","31139.0","34701.0","1161.0","1127.0","1468.0","1333.0","1783.0","1657.0","1784.0","1741.0"
" 岩 出 市","25530.0","27352.0","1359.0","1234.0","1506.0","1435.0","1467.0","1579.0","1509.0","1357.0"
"","","","","","","","","","",""
" 紀美野町","4774.0","5617.0","92.0","103.0","157.0","143.0","202.0","181.0","202.0","178.0"
"","","","","","","","","","",""
" かつらぎ町","8502.0","9728.0","276.0","279.0","349.0","303.0","370.0","369.0","465.0","427.0"
" 九度山町","2268.0","2695.0","62.0","73.0","74.0","73.0","90.0","99.0","102.0","112.0"
" 高 野 町","2043.0","1932.0","46.0","41.0","42.0","38.0","51.0","41.0","186.0","67.0"
"","","","","","","","","","",""
" 湯 浅 町","6192.0","7018.0","256.0","244.0","270.0","272.0","309.0","325.0","317.0","287.0"
" 広 川 町","3585.0","4129.0","156.0","157.0","174.0","165.0","175.0","204.0","205.0","200.0"
" 有田川町","12806.0","14356.0","525.0","505.0","628.0","575.0","737.0","742.0","650.0","608.0"
"","","","","","","","","","",""
" 美 浜 町","3724.0","4353.0","133.0","154.0","173.0","156.0","199.0","195.0","178.0","158.0"
" 日 高 町","3504.0","3928.0","174.0","176.0","218.0","193.0","219.0","206.0","155.0","152.0"
" 由 良 町","3147.0","3361.0","125.0","101.0","134.0","107.0","181.0","137.0","132.0","134.0"
" 印 南 町","4044.0","4562.0","169.0","147.0","192.0","190.0","211.0","193.0","201.0","196.0"
" みなべ町","6405.0","7065.0","295.0","282.0","366.0","350.0","357.0","371.0","335.0","314.0"
" 日高川町","4951.0","5558.0","196.0","183.0","248.0","224.0","286.0","263.0","324.0","240.0"
"","","","","","","","","","",""
" 白 浜 町","10379.0","12317.0","377.0","352.0","416.0","435.0","513.0","473.0","422.0","484.0"
" 上富田町","7017.0","7790.0","390.0","336.0","343.0","363.0","441.0","423.0","346.0","384.0"
" すさみ町","2241.0","2489.0","72.0","53.0","95.0","56.0","103.0","89.0","82.0","74.0"
"","","","","","","","","","",""
" 那智勝浦町","7788.0","9292.0","254.0","261.0","318.0","315.0","365.0","367.0","282.0","337.0"
" 太 地 町","1459.0","1791.0","41.0","24.0","53.0","55.0","76.0","78.0","70.0","64.0"
" 古座川町","1377.0","1726.0","37.0","33.0","45.0","41.0","52.0","54.0","52.0","27.0"
" 北 山 村","224.0","262.0","2.0","3.0","9.0","4.0","10.0","7.0","5.0","4.0"
" 串 本 町","8500.0","9749.0","276.0","230.0","307.0","261.0","358.0","371.0","267.0","290.0"
